Brand,Model,Year,Status,Mileage,Dealer,Price,Age,PriceRange,Yearly_Miles
kia,sportage,2023,new,0.0,Classic Kia,28990.0,1,$20000-29999,0.0
chevrolet,camaro,2024,new,0.0,Classic Chevrolet Beaumont,41425.0,0,$40000-49999,
ford,bronco,2023,used,1551.0,Mike Smith Chrysler Dodge Jeep RAM,58900.0,1,$50000-59999,1551.0
volkswagen,golf,2022,certified,13895.0,Volkswagen of Beaumont,34000.0,2,$30000-39999,6947.5
gmc,yukon,2021,used,68506.0,BMW of Beaumont,56954.0,3,$50000-59999,22835.33
bmw,m340,2023,new,0.0,BMW of Beaumont,61715.0,1,$60000-69999,0.0
hyundai,sonata,2023,new,0.0,Hyundai of Silsbee,37945.0,1,$30000-39999,0.0
hyundai,sonata,2023,new,0.0,Hyundai of Silsbee,33495.0,1,$30000-39999,0.0
jeep,grand cherokee,2023,new,0.0,Granger Chrysler Dodge Jeep Ram,63627.0,1,$60000-69999,0.0
jeep,wagoneer,2023,new,0.0,Granger Chrysler Dodge Jeep Ram,67998.0,1,$60000-69999,0.0
dodge,durango,2023,new,0.0,Granger Chrysler Dodge Jeep Ram,48998.0,1,$40000-49999,0.0
ford,mustang,2024,new,0.0,Town & Country Ford,52105.0,0,$50000-59999,
ford,f-350,2023,new,0.0,Town & Country Ford,76816.0,1,$70000-79999,0.0
honda,passport,2023,new,0.0,Community Honda,47935.0,1,$40000-49999,0.0
gmc,yukon,2023,new,0.0,Big Star Buick GMC,71125.0,1,$70000-79999,0.0
lexus,es,2021,used,22251.0,Big Star Buick GMC,39895.0,3,$30000-39999,7417.0
gmc,sierra,2022,certified,7142.0,Big Star Buick GMC,45995.0,2,$40000-49999,3571.0
gmc,yukon,2023,new,0.0,Big Star Buick GMC,77345.0,1,$70000-79999,0.0
gmc,yukon,2023,new,0.0,Big Star Buick GMC,99605.0,1,$90000-99999,0.0
gmc,yukon,2023,new,0.0,Big Star Buick GMC,89925.0,1,$80000-89999,0.0
gmc,yukon,2023,new,0.0,Big Star Buick GMC,100205.0,1,$100000-109999,0.0
gmc,yukon,2023,new,0.0,Big Star Buick GMC,75600.0,1,$70000-79999,0.0
toyota,tundra,2019,used,33196.0,Big Star Buick GMC,36990.0,5,$30000-39999,6639.2
cadillac,ct5,2023,new,0.0,Ron Craft Cadillac,53805.0,1,$50000-59999,0.0
mazda,cx-5,2017,used,97892.0,Bacliff Auto,16995.0,7,$10000-19999,13984.57
honda,civic,2023,new,0.0,Sterling McCall Honda,25845.0,1,$20000-29999,0.0
honda,accord,2017,used,95294.0,Sterling McCall Honda,16141.0,7,$10000-19999,13613.43
volkswagen,atlas,2021,used,32298.0,Tejas Toyota,33127.0,3,$30000-39999,10766.0
toyota,4runner,2023,new,0.0,Tejas Toyota,49521.0,1,$40000-49999,0.0
